0.123437, 0.180187, 0.253172, 0.342216, 0.444813, 0.555727, 0.667103, 0.7692, 0.851711, 0.905473, 0.924149, 0.905473, 0.851711, 0.7692, 0.667103, 0.555727, 0.444813, 0.342216, 0.253172, 0.180187, 0.123437
0.180187, 0.263026, 0.369566, 0.499549, 0.649313, 0.811219, 0.9738, 1.12283, 1.24328, 1.32176, 1.34902, 1.32176, 1.24328, 1.12283, 0.9738, 0.811219, 0.649313, 0.499549, 0.369566, 0.263026, 0.180187
0.253172, 0.369566, 0.519259, 0.701891, 0.912318, 1.1398, 1.36824, 1.57764, 1.74687, 1.85714, 1.89544, 1.85714, 1.74687, 1.57764, 1.36824, 1.1398, 0.912318, 0.701891, 0.519259, 0.369566, 0.253172
0.342216, 0.499549, 0.701891, 0.948759, 1.2332, 1.54069, 1.84947, 2.13252, 2.36128, 2.51033, 2.56211, 2.51033, 2.36128, 2.13252, 1.84947, 1.54069, 1.2332, 0.948759, 0.701891, 0.499549, 0.342216
0.444813, 0.649313, 0.912318, 1.2332, 1.60291, 2.00259, 2.40394, 2.77185, 3.06919, 3.26292, 3.33022, 3.26292, 3.06919, 2.77185, 2.40394, 2.00259, 1.60291, 1.2332, 0.912318, 0.649313, 0.444813
0.555727, 0.811219, 1.1398, 1.54069, 2.00259, 2.50194, 3.00337, 3.46302, 3.83449, 4.07653, 4.16061, 4.07653, 3.83449, 3.46302, 3.00337, 2.50194, 2.00259, 1.54069, 1.1398, 0.811219, 0.555727
0.667103, 0.9738, 1.36824, 1.84947, 2.40394, 3.00337, 3.60529, 4.15706, 4.60299, 4.89354, 4.99447, 4.89354, 4.60299, 4.15706, 3.60529, 3.00337, 2.40394, 1.84947, 1.36824, 0.9738, 0.667103
0.7692, 1.12283, 1.57764, 2.13252, 2.77185, 3.46302, 4.15706, 4.79327, 5.30745, 5.64247, 5.75884, 5.64247, 5.30745, 4.79327, 4.15706, 3.46302, 2.77185, 2.13252, 1.57764, 1.12283, 0.7692
0.851711, 1.24328, 1.74687, 2.36128, 3.06919, 3.83449, 4.60299, 5.30745, 5.87677, 6.24773, 6.37659, 6.24773, 5.87677, 5.30745, 4.60299, 3.83449, 3.06919, 2.36128, 1.74687, 1.24328, 0.851711
0.905473, 1.32176, 1.85714, 2.51033, 3.26292, 4.07653, 4.89354, 5.64247, 6.24773, 6.6421, 6.7791, 6.6421, 6.24773, 5.64247, 4.89354, 4.07653, 3.26292, 2.51033, 1.85714, 1.32176, 0.905473
0.924149, 1.34902, 1.89544, 2.56211, 3.33022, 4.16061, 4.99447, 5.75884, 6.37659, 6.7791, 6.91892, 6.7791, 6.37659, 5.75884, 4.99447, 4.16061, 3.33022, 2.56211, 1.89544, 1.34902, 0.924149
0.905473, 1.32176, 1.85714, 2.51033, 3.26292, 4.07653, 4.89354, 5.64247, 6.24773, 6.6421, 6.7791, 6.6421, 6.24773, 5.64247, 4.89354, 4.07653, 3.26292, 2.51033, 1.85714, 1.32176, 0.905473
0.851711, 1.24328, 1.74687, 2.36128, 3.06919, 3.83449, 4.60299, 5.30745, 5.87677, 6.24773, 6.37659, 6.24773, 5.87677, 5.30745, 4.60299, 3.83449, 3.06919, 2.36128, 1.74687, 1.24328, 0.851711
0.7692, 1.12283, 1.57764, 2.13252, 2.77185, 3.46302, 4.15706, 4.79327, 5.30745, 5.64247, 5.75884, 5.64247, 5.30745, 4.79327, 4.15706, 3.46302, 2.77185, 2.13252, 1.57764, 1.12283, 0.7692
0.667103, 0.9738, 1.36824, 1.84947, 2.40394, 3.00337, 3.60529, 4.15706, 4.60299, 4.89354, 4.99447, 4.89354, 4.60299, 4.15706, 3.60529, 3.00337, 2.40394, 1.84947, 1.36824, 0.9738, 0.667103
0.555727, 0.811219, 1.1398, 1.54069, 2.00259, 2.50194, 3.00337, 3.46302, 3.83449, 4.07653, 4.16061, 4.07653, 3.83449, 3.46302, 3.00337, 2.50194, 2.00259, 1.54069, 1.1398, 0.811219, 0.555727
0.444813, 0.649313, 0.912318, 1.2332, 1.60291, 2.00259, 2.40394, 2.77185, 3.06919, 3.26292, 3.33022, 3.26292, 3.06919, 2.77185, 2.40394, 2.00259, 1.60291, 1.2332, 0.912318, 0.649313, 0.444813
0.342216, 0.499549, 0.701891, 0.948759, 1.2332, 1.54069, 1.84947, 2.13252, 2.36128, 2.51033, 2.56211, 2.51033, 2.36128, 2.13252, 1.84947, 1.54069, 1.2332, 0.948759, 0.701891, 0.499549, 0.342216
0.253172, 0.369566, 0.519259, 0.701891, 0.912318, 1.1398, 1.36824, 1.57764, 1.74687, 1.85714, 1.89544, 1.85714, 1.74687, 1.57764, 1.36824, 1.1398, 0.912318, 0.701891, 0.519259, 0.369566, 0.253172
0.180187, 0.263026, 0.369566, 0.499549, 0.649313, 0.811219, 0.9738, 1.12283, 1.24328, 1.32176, 1.34902, 1.32176, 1.24328, 1.12283, 0.9738, 0.811219, 0.649313, 0.499549, 0.369566, 0.263026, 0.180187
0.123437, 0.180187, 0.253172, 0.342216, 0.444813, 0.555727, 0.667103, 0.7692, 0.851711, 0.905473, 0.924149, 0.905473, 0.851711, 0.7692, 0.667103, 0.555727, 0.444813, 0.342216, 0.253172, 0.180187, 0.123437
